class,method,invokes,parameters,location,originClass,originMethod
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""NON_NULL""]",3153:-1,com.google.common.cache.LocalCache$Segment,preWriteCleanup(J)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""NON_NULL"",""UNKNOWN"",""UNKNOWN"",""NON_NULL""]",3190:-1,com.google.common.cache.LocalCache$Segment,setValue(Lcom/google/common/cache/LocalCache$ReferenceEntry;Ljava/lang/Object;Ljava/lang/Object;J)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""UNKNOWN"",""NON_NULL"",""NON_NULL"",""NON_NULL"",""UNKNOWN""]",3188:-1,com.google.common.cache.LocalCache$Segment,enqueueNotification(Ljava/lang/Object;ILjava/lang/Object;ILcom/google/common/cache/RemovalCause;)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,"[""NON_NULL""]",3191:-1,com.google.common.cache.LocalCache$Segment,evictEntries(Lcom/google/common/cache/LocalCache$ReferenceEntry;)V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3199:-1,com.google.common.cache.LocalCache$Segment,postWriteCleanup()V
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3167:-1,com.google.common.cache.LocalCache$ValueReference,isActive()Z
com.google.common.cache.LocalCache$Segment,replace(Ljava/lang/Object;ILjava/lang/Object;)Ljava/lang/Object;,true,[],3189:-1,com.google.common.cache.LocalCache$ValueReference,getWeight()I
com.google.common.cache.LocalCache$WeakValueReference,getEntry()Lcom/google/common/cache/LocalCache$ReferenceEntry;,false,,,,
com.google.common.collect.Maps$FilteredMapValues,remove(Ljava/lang/Object;)Z,true,"[""UNKNOWN""]",2865:-1,com.google.common.base.Predicate,apply(Ljava/lang/Object;)Z
com.google.common.collect.Maps$FilteredMapValues,remove(Ljava/lang/Object;)Z,true,"[""UNKNOWN"",""UNKNOWN""]",2863:-1,com.google.common.base.Objects,equal(Ljava/lang/Object;Ljava/lang/Object;)Z
com.google.common.collect.AbstractMultimap,valueSpliterator()Ljava/util/Spliterator;,true,[],233:-1,com.google.common.collect.AbstractMultimap,valueIterator()Ljava/util/Iterator;
com.google.common.collect.AbstractMultimap,valueSpliterator()Ljava/util/Spliterator;,true,[],233:-1,com.google.common.collect.Multimap,size()I
com.google.common.collect.MapMakerInternalMap,clear()V,true,[],2487:-1,com.google.common.collect.MapMakerInternalMap$Segment,clear()V
com.google.common.hash.BloomFilter,writeTo(Ljava/io/OutputStream;)V,true,"[""NON_NULL""]",568:-1,com.google.common.primitives.SignedBytes,checkedCast(J)B
com.google.common.hash.BloomFilter,writeTo(Ljava/io/OutputStream;)V,true,[],568:-1,com.google.common.hash.BloomFilter$Strategy,ordinal()I
com.google.common.hash.BloomFilter,writeTo(Ljava/io/OutputStream;)V,true,"[""NON_NULL""]",569:-1,com.google.common.primitives.UnsignedBytes,checkedCast(J)B
com.google.common.base.CharMatcher,javaIsoControl()Lcom/google/common/base/CharMatcher;,false,,,,
com.google.common.hash.Hashing$Md5Holder,<init>()V,false,,,,
com.google.common.collect.AbstractMultiset,elementSet()Ljava/util/Set;,true,[],157:-1,com.google.common.collect.AbstractMultiset,createElementSet()Ljava/util/Set;
com.google.common.collect.FilteredKeyListMultimap,removeAll(Ljava/lang/Object;)Ljava/util/Collection;,true,"[""UNKNOWN""]",29:-1,com.google.common.collect.FilteredKeyListMultimap,removeAll(Ljava/lang/Object;)Ljava/util/List;
com.google.common.collect.RegularImmutableBiMap,access$100(Lcom/google/common/collect/RegularImmutableBiMap;)[Lcom/google/common/collect/ImmutableMapEntry;,false,,,,
com.google.common.collect.HashBiMap$Inverse,values()Ljava/util/Set;,true,[],650:-1,com.google.common.collect.HashBiMap$Inverse,forward()Lcom/google/common/collect/BiMap;
com.google.common.util.concurrent.TrustedListenableFutureTask$TrustedFutureInterruptibleTask,runInterruptibly()Ljava/lang/Object;,false,,,,
com.google.common.collect.SortedMultisets$ElementSet,multiset()Lcom/google/common/collect/SortedMultiset;,false,,,,
com.google.common.graph.ConfigurableNetwork,successors(Ljava/lang/Object;)Ljava/util/Set;,true,[],174:-1,com.google.common.graph.NetworkConnections,successors()Ljava/util/Set;
com.google.common.graph.ConfigurableNetwork,successors(Ljava/lang/Object;)Ljava/util/Set;,true,"[""UNKNOWN""]",174:-1,com.google.common.graph.ConfigurableNetwork,checkedConnections(Ljava/lang/Object;)Lcom/google/common/graph/NetworkConnections;
com.google.common.primitives.Doubles,concat([[D)[D,false,,,,
com.google.common.collect.ImmutableRangeMap$Builder,put(Lcom/google/common/collect/Range;Ljava/lang/Object;)Lcom/google/common/collect/ImmutableRangeMap$Builder;,true,"[""NON_NULL"",""NON_NULL""]",124:-1,com.google.common.collect.Maps,immutableEntry(Ljava/lang/Object;Ljava/lang/Object;)Ljava/util/Map$Entry;
