,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation,documentation.method.found,documentation.class.found,documentation.description,documentation.throws
119,com.google.common.base.CharMatcher$Negated,method,private,<init>(Lcom/google/common/base/CharMatcher;),false,0,true,UNKNOWN,1,,,False,,,
120,com.google.common.base.CharMatcher$NegatedFastMatcher,method,private,<init>(Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,,,False,,,
121,com.google.common.base.CharMatcher$NegatedFastMatcher,method,private,<init>(Lcom/google/common/base/CharMatcher;),false,0,true,UNKNOWN,1,,,False,,,
122,com.google.common.base.CharMatcher$Or,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;),false,0,true,NON_NULL,1,,,False,,,
123,com.google.common.base.CharMatcher$Or,method,private,<init>(Lcom/google/common/base/CharMatcher;Lcom/google/common/base/CharMatcher;),false,1,true,UNKNOWN,1,,,False,,,
124,com.google.common.base.CharMatcher$RangesMatcher,method,private,<init>(Ljava/lang/String;[C[C),false,0,true,NON_NULL,3,,,False,,,
125,com.google.common.base.CharMatcher$RangesMatcher,method,private,<init>(Ljava/lang/String;[C[C),false,1,true,UNKNOWN,3,,,False,,,
126,com.google.common.base.CharMatcher$RangesMatcher,method,private,<init>(Ljava/lang/String;[C[C),false,2,true,UNKNOWN,3,,,False,,,
127,com.google.common.base.CommonMatcher,method,private,find(I),false,0,true,NON_NULL,1,,,False,,,
128,com.google.common.base.CommonPattern,method,private,matcher(Ljava/lang/CharSequence;),false,-1,true,UNKNOWN,2,,,False,,,
129,com.google.common.base.CommonPattern,method,private,matcher(Ljava/lang/CharSequence;),false,0,true,NON_NULL,1,,,False,,,
130,com.google.common.base.CommonPattern,method,private,matcher(Ljava/lang/CharSequence;),false,0,true,UNKNOWN,2,,,False,,,
131,com.google.common.base.Converter,method,private,correctedDoBackward(Ljava/lang/Object;),false,0,true,UNKNOWN,3,False,,False,True,,
132,com.google.common.base.Converter,method,private,correctedDoForward(Ljava/lang/Object;),false,0,true,UNKNOWN,3,False,,False,True,,
133,com.google.common.base.Converter,method,public,convert(Ljava/lang/Object;),false,0,true,UNKNOWN,1,False,False,True,True,False,False
134,com.google.common.base.Converter,method,public,equals(Ljava/lang/Object;),false,0,true,UNKNOWN,3,False,False,True,True,False,False
135,com.google.common.base.Converter$1,method,private,<init>(Lcom/google/common/base/Converter;Ljava/lang/Iterable;),false,0,true,NON_NULL,1,,,False,,,
