,class,attribute,visibility,name,getter,index,internal,nullness,n,constructor,documentation
126,java.awt.Desktop,method,public,browse(Ljava/net/URI;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
127,java.awt.Desktop,method,public,browse(Ljava/net/URI;),false,0,false,UNKNOWN,33,False,NOT_MENTIONED
128,java.awt.Desktop,method,public,getDesktop(),false,-1,false,UNKNOWN,60,False,NOT_MENTIONED
129,java.awt.Desktop,method,public,isSupported(Ljava/awt/Desktop$Action;),false,0,false,UNKNOWN,33,False,METHOD_NOT_FOUND
130,java.awt.Desktop,method,public,open(Ljava/io/File;),false,0,false,UNKNOWN,5,False,NOT_MENTIONED
131,java.awt.Dialog,method,public,setModal(Z),false,0,false,NON_NULL,11,False,NOT_MENTIONED
132,java.awt.Dialog,method,public,setResizable(Z),false,0,false,NON_NULL,22,False,NOT_MENTIONED
133,java.awt.Dialog,method,public,setTitle(Ljava/lang/String;),false,0,false,UNKNOWN,66,False,NOT_MENTIONED
134,java.awt.Dialog,method,public,setUndecorated(Z),false,0,false,NON_NULL,55,False,NOT_MENTIONED
135,java.awt.Dialog,method,public,setVisible(Z),false,0,false,NON_NULL,99,False,NOT_MENTIONED
136,java.awt.Dimension,method,public,<init>(II),false,0,false,NON_NULL,266,True,NOT_MENTIONED
137,java.awt.Dimension,method,public,<init>(II),false,1,false,NON_NULL,266,True,NOT_MENTIONED
138,java.awt.EventQueue,method,protected,dispatchEvent(Ljava/awt/AWTEvent;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
139,java.awt.EventQueue,method,public,invokeAndWait(Ljava/lang/Runnable;),false,0,false,NON_NULL,2,False,NOT_MENTIONED
140,java.awt.EventQueue,method,public,push(Ljava/awt/EventQueue;),false,0,false,NON_NULL,11,False,NOT_MENTIONED
141,java.awt.Font,method,public,<init>(Ljava/lang/String;II),false,0,false,NON_NULL,24,True,NOT_MENTIONED
142,java.awt.Font,method,public,<init>(Ljava/lang/String;II),false,0,false,UNKNOWN,1,True,NOT_MENTIONED
143,java.awt.Font,method,public,<init>(Ljava/lang/String;II),false,1,false,NON_NULL,25,True,NOT_MENTIONED
144,java.awt.Font,method,public,<init>(Ljava/lang/String;II),false,2,false,NON_NULL,25,True,NOT_MENTIONED
145,java.awt.Font,method,public,deriveFont(F),false,0,false,NON_NULL,550,False,NOT_MENTIONED
146,java.awt.Font,method,public,deriveFont(I),false,0,false,NON_NULL,957,False,NOT_MENTIONED
147,java.awt.FontMetrics,method,public,stringWidth(Ljava/lang/String;),false,0,false,UNKNOWN,13,False,NOT_MENTIONED
148,java.awt.Frame,method,public,setExtendedState(I),false,0,false,NON_NULL,14,False,NOT_MENTIONED
149,java.awt.Frame,method,public,setTitle(Ljava/lang/String;),false,0,false,UNKNOWN,11,False,NOT_MENTIONED
150,java.awt.Frame,method,public,setUndecorated(Z),false,0,false,NON_NULL,19,False,NOT_MENTIONED
151,java.awt.Graphics,method,public,clearRect(IIII),false,0,false,NON_NULL,6,False,NOT_MENTIONED
152,java.awt.Graphics,method,public,clearRect(IIII),false,1,false,NON_NULL,6,False,NOT_MENTIONED
153,java.awt.Graphics,method,public,clearRect(IIII),false,2,false,NON_NULL,6,False,NOT_MENTIONED
154,java.awt.Graphics,method,public,clearRect(IIII),false,3,false,NON_NULL,6,False,NOT_MENTIONED
155,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,0,false,UNKNOWN,17,False,NOT_MENTIONED
156,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,1,false,NON_NULL,17,False,NOT_MENTIONED
157,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,2,false,NON_NULL,17,False,NOT_MENTIONED
158,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,3,false,NON_NULL,17,False,NOT_MENTIONED
159,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,4,false,NON_NULL,17,False,NOT_MENTIONED
160,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IIIILjava/awt/image/ImageObserver;),false,5,false,NULL,17,False,NOT_MENTIONED
161,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IILjava/awt/image/ImageObserver;),false,0,false,NON_NULL,24,False,NOT_MENTIONED
162,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IILjava/awt/image/ImageObserver;),false,0,false,UNKNOWN,59,False,NOT_MENTIONED
163,java.awt.Graphics,method,public,drawImage(Ljava/awt/Image;IILjava/awt/image/ImageObserver;),false,1,false,NON_NULL,83,False,NOT_MENTIONED
