"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"29","com.google.common.collect.HashBasedTable","com.google.common.collect.HashBasedTable","create()",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"30","com.google.common.collect.HashMultimap","com.google.common.collect.HashMultimap","create()",FALSE,"return",-1,"NonNull","NonNull",0,0,4,4,0,0,"NonNull"
"31","com.google.common.collect.HashMultiset","com.google.common.collect.HashMultiset","create()",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"32","com.google.common.collect.ImmutableClassToInstanceMap","com.google.common.collect.ImmutableClassToInstanceMap","builder()",FALSE,"return",-1,"NonNull","NonNull",0,0,3,3,0,0,"NonNull"
"33","com.google.common.collect.ImmutableClassToInstanceMap$Builder","com.google.common.collect.ImmutableClassToInstanceMap$Builder","put(Ljava/lang/Class;Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,89,89,0,0,"NonNull"
"34","com.google.common.collect.ImmutableClassToInstanceMap$Builder","com.google.common.collect.ImmutableClassToInstanceMap$Builder","putAll(Ljava/util/Map;)",FALSE,"return",-1,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"35","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableList$Builder","add(Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,18,18,0,0,"NonNull"
"36","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableList$Builder","add([Ljava/lang/Object;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
"37","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableList$Builder","addAll(Ljava/lang/Iterable;)",FALSE,"return",-1,"NonNull","NonNull",0,0,12,12,0,0,"NonNull"
"38","com.google.common.collect.ImmutableCollection$Builder","com.google.common.collect.ImmutableList$Builder","addAll(Ljava/util/Iterator;)",FALSE,"return",-1,"NonNull","NonNull",0,0,2,2,0,0,"NonNull"
