"","rootClass","class","name","getter","use","index","nullness.jaif","nullness.actual","nullness.usage.null","nullness.usage.non.null","nullness.usage.unknown","n.usage","nullability.evidence","nullability","nullness.usage"
"118","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterWrite(JLjava/util/concurrent/TimeUnit;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,23,24,0,0,"NonNull"
"119","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","expireAfterWrite(JLjava/util/concurrent/TimeUnit;)",FALSE,"return",-1,"Nullable","NonNull",0,0,20,20,0,0,"NonNull"
"120","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","keyEquivalence(Lcom/google/common/base/Equivalence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"121","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","keyEquivalence(Lcom/google/common/base/Equivalence;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"122","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","maximumSize(J)",FALSE,"return",-1,"Nullable","NonNull",0,0,41,41,0,0,"NonNull"
"123","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","newBuilder()",FALSE,"return",-1,"Nullable","NonNull",0,0,72,72,0,0,"NonNull"
"124","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","refreshAfterWrite(JLjava/util/concurrent/TimeUnit;)",FALSE,"parameter",1,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"125","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","removalListener(Lcom/google/common/cache/RemovalListener;)",FALSE,"parameter",0,"NonNull","NonNull",0,2,8,10,0,0,"NonNull"
"126","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","removalListener(Lcom/google/common/cache/RemovalListener;)",FALSE,"return",-1,"Nullable","NonNull",0,0,10,10,0,0,"NonNull"
"127","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setKeyStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"128","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setKeyStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"129","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setValueStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
"130","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","setValueStrength(Lcom/google/common/cache/LocalCache$Strength;)",FALSE,"return",-1,"Nullable","NonNull",0,0,1,1,0,0,"NonNull"
"131","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","ticker(Lcom/google/common/base/Ticker;)",FALSE,"parameter",0,"NonNull","NonNull",0,1,0,1,0,0,"NonNull"
"132","com.google.common.cache.CacheBuilder","com.google.common.cache.CacheBuilder","valueEquivalence(Lcom/google/common/base/Equivalence;)",FALSE,"parameter",0,"NonNull","NonNull",0,0,1,1,0,0,"NonNull"
