"","rootClass","class","attribute","name","index","nullness.reduced","nullness.annotated","nullness"
"121","com.google.common.collect.ImmutableMultiset","com.google.common.collect.ImmutableSortedMultisetFauxverideShim","method","toImmutableMultiset(Ljava/util/function/Function;Ljava/util/function/ToIntFunction;)",-1,"Nullable","NonNull","Nullable"
"122","com.google.common.collect.ImmutableMultiset$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","addCopies(Ljava/lang/Object;I)",-1,"Nullable","NonNull","Nullable"
"123","com.google.common.collect.ImmutableMultiset$Builder","com.google.common.collect.ImmutableSortedMultiset$Builder","method","setCount(Ljava/lang/Object;I)",-1,"Nullable","NonNull","Nullable"
"124","com.google.common.collect.ImmutableSet","com.google.common.collect.ContiguousSet","method","builder()",-1,"Nullable","NonNull","Nullable"
"125","com.google.common.collect.ImmutableSet","com.google.common.collect.ImmutableMapEntrySet$RegularEntrySet","method","createAsList()",-1,"Nullable","NonNull","Nullable"
"126","com.google.common.collect.ImmutableSet","com.google.common.collect.RegularContiguousSet","method","createAsList()",-1,"Nullable","NonNull","Nullable"
"127","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ContiguousSet","method","createDescendingSet()",-1,"Nullable","NonNull","Nullable"
"128","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.DescendingImmutableSortedSet","method","createDescendingSet()",-1,"Nullable","NonNull","Nullable"
"129","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.EmptyContiguousSet","method","createDescendingSet()",-1,"Nullable","NonNull","Nullable"
"130","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ImmutableRangeSet$AsSet","method","createDescendingSet()",-1,"Nullable","NonNull","Nullable"
"131","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ContiguousSet","method","headSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"132","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.DescendingImmutableSortedSet","method","headSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"133","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.EmptyContiguousSet","method","headSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"134","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ImmutableRangeSet$AsSet","method","headSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"135","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.RegularContiguousSet","method","headSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"136","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ContiguousSet","method","subSetImpl(Ljava/lang/Object;ZLjava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"137","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.DescendingImmutableSortedSet","method","subSetImpl(Ljava/lang/Object;ZLjava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"138","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.EmptyContiguousSet","method","subSetImpl(Ljava/lang/Object;ZLjava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"139","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ImmutableRangeSet$AsSet","method","subSetImpl(Ljava/lang/Object;ZLjava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"140","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.RegularContiguousSet","method","subSetImpl(Ljava/lang/Object;ZLjava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"141","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ContiguousSet","method","tailSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"142","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.DescendingImmutableSortedSet","method","tailSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"143","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.EmptyContiguousSet","method","tailSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"144","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.ImmutableRangeSet$AsSet","method","tailSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"145","com.google.common.collect.ImmutableSortedSet","com.google.common.collect.RegularContiguousSet","method","tailSetImpl(Ljava/lang/Object;Z)",-1,"Nullable","NonNull","Nullable"
"146","com.google.common.collect.MapDifference","com.google.common.collect.SortedMapDifference","method","entriesDiffering()",-1,"Nullable","NonNull","Nullable"
